aX,aY,aZ,gX,gY,gZ
-0.002,1.022,0.518,3.052,2.197,-2.808
-0.006,0.964,0.497,1.099,1.099,-3.723
0.005,0.904,0.462,-1.099,0.427,-4.578
0.013,0.842,0.431,-2.197,0.305,-4.578
0.022,0.793,0.412,-2.625,0.549,-3.235
0.021,0.756,0.403,-2.991,0.916,-0.488
0.020,0.733,0.392,-3.662,1.465,2.991
0.013,0.721,0.375,-3.845,2.319,6.348
0.002,0.735,0.369,-2.869,2.502,9.277
-0.002,0.750,0.388,-1.282,2.380,11.353
-0.033,0.819,0.396,-0.671,2.136,11.108
-0.038,0.856,0.436,-0.305,3.479,12.268
-0.052,0.892,0.442,-1.038,1.648,12.024
-0.048,0.922,0.452,-2.319,0.427,10.742
-0.033,0.935,0.454,-3.174,0.427,8.545
-0.035,0.939,0.446,-2.991,0.488,6.104
-0.030,0.927,0.446,-2.380,1.831,3.845
-0.035,0.921,0.442,-1.648,2.197,2.686
-0.042,0.929,0.448,-1.160,1.892,1.953
-0.046,0.928,0.452,-1.221,1.953,1.465
-0.044,0.922,0.456,-2.441,2.441,1.038
-0.029,0.915,0.466,-3.174,3.052,-0.183
-0.000,0.915,0.466,-3.723,4.456,-2.258
0.030,0.921,0.465,-3.113,4.944,-3.845
0.054,0.959,0.476,-1.221,5.066,-4.089
0.040,1.024,0.512,0.854,6.409,-3.052
0.024,1.102,0.559,2.686,8.362,-2.380
0.002,1.203,0.610,3.784,9.155,-3.967
-0.019,1.267,0.664,4.944,9.155,-6.897
0.023,1.275,0.682,7.812,8.667,-9.155
0.076,1.272,0.655,15.442,7.202,-10.986
0.102,1.287,0.627,29.785,6.592,-17.456
0.144,1.265,0.587,44.067,10.681,-29.480
0.134,1.265,0.617,52.734,18.372,-44.739
0.105,1.280,0.662,57.861,24.231,-62.988
0.051,1.330,0.703,64.575,24.048,-80.383
-0.022,1.311,0.767,74.646,18.616,-95.581
0.003,1.278,0.755,78.796,9.399,-113.647
0.197,1.250,0.638,83.008,-4.272,-130.127
0.174,1.115,0.561,97.778,-15.686,-134.216
0.291,1.012,0.577,124.573,-24.109,-133.057
0.329,1.060,0.649,156.921,-34.180,-128.967
0.295,1.035,0.751,178.040,-41.748,-122.986
0.278,0.949,0.804,174.133,-38.513,-120.911
0.300,0.869,0.746,157.471,-30.029,-124.634
0.360,0.781,0.721,152.466,-22.522,-130.493
0.438,0.690,0.734,164.551,-16.357,-138.611
0.522,0.620,0.790,184.265,-10.254,-149.353
0.604,0.614,0.870,197.266,0.427,-157.227
0.613,0.584,0.936,201.172,15.869,-156.250
0.661,0.509,1.001,202.820,29.663,-150.940
0.673,0.483,1.002,203.613,31.128,-146.057
0.700,0.461,0.950,204.285,32.043,-137.573
0.732,0.424,0.948,206.787,39.429,-130.127
0.777,0.366,0.949,207.947,48.523,-126.282
0.824,0.303,0.943,208.374,57.190,-122.253
0.872,0.220,0.913,210.754,65.735,-114.746
0.870,0.163,0.893,217.651,74.890,-104.736
0.802,0.094,0.859,227.051,82.703,-96.069
0.723,0.048,0.850,234.314,90.454,-92.163
0.666,0.022,0.814,238.342,93.872,-91.248
0.646,0.015,0.751,239.990,90.759,-89.844
0.663,-0.032,0.693,238.831,84.229,-85.083
0.670,-0.054,0.660,234.863,76.233,-76.782
0.667,-0.128,0.614,228.516,66.833,-66.406
0.660,-0.136,0.562,222.351,58.777,-55.237
1.865,0.201,0.328,626.831,190.186,-138.489
1.872,0.468,-0.239,622.253,185.242,-117.310
1.696,0.690,-0.714,634.277,180.847,-99.060
1.371,0.696,-0.950,644.409,176.270,-94.421
