aX,aY,aZ,gX,gY,gZ
0.469,-0.573,0.611,111.755,-26.917,11.719
0.304,-0.537,0.660,113.220,-11.475,15.625
0.228,-0.516,0.827,113.892,-6.470,10.010
0.280,-0.500,1.038,101.318,-12.329,2.930
0.402,-0.541,1.206,72.876,-25.024,-4.028
0.522,-0.587,1.213,33.875,-39.856,-5.981
0.566,-0.601,1.021,-4.822,-51.636,-0.427
0.428,-0.570,0.687,-29.297,-56.091,8.667
0.280,-0.525,0.428,-29.724,-48.035,14.771
0.162,-0.500,0.368,-11.292,-36.926,16.663
0.073,-0.455,0.500,9.644,-30.701,17.944
0.023,-0.408,0.778,22.766,-30.579,17.944
0.030,-0.389,1.089,20.630,-36.682,15.015
0.058,-0.370,1.304,1.648,-45.959,11.292
0.053,-0.378,1.334,-27.405,-51.941,7.202
-0.487,0.247,-2.198,-387.451,-148.865,57.068
-0.537,0.402,-1.913,-278.870,-121.155,35.583
-0.539,0.568,-1.396,-185.852,-107.178,19.653
-0.436,0.761,-1.064,-132.080,-111.755,9.583
-0.312,0.871,-0.757,-100.098,-116.394,2.380
-0.239,0.887,-0.467,-79.041,-119.812,2.075
-0.211,0.893,-0.341,-68.115,-118.225,5.981
-0.182,0.884,-0.356,-57.495,-103.943,9.216
-0.182,0.874,-0.418,-39.307,-75.806,8.850
-0.200,0.875,-0.481,-16.541,-42.847,6.470
-0.229,0.890,-0.518,7.141,-15.869,4.517
-0.210,0.905,-0.488,30.334,4.700,2.380
-0.199,0.902,-0.381,45.837,18.433,0.366
-0.215,0.912,-0.309,48.523,17.212,0.183
-0.205,0.935,-0.307,43.701,4.883,3.784
-0.227,0.929,-0.278,39.612,-6.165,8.606
-0.251,0.931,-0.280,36.072,-10.803,12.329
-0.291,0.953,-0.299,33.875,-10.803,13.550
-0.334,0.968,-0.268,34.851,-6.470,11.841
-0.324,0.958,-0.233,37.354,-0.610,8.057
-0.292,0.939,-0.234,39.490,7.751,4.028
-0.264,0.895,-0.258,40.649,18.494,1.770
-0.240,0.839,-0.337,41.077,24.353,0.427
-0.217,0.798,-0.419,42.847,25.940,1.099
-0.187,0.770,-0.414,47.363,25.696,3.052
-0.158,0.763,-0.390,50.110,21.790,6.531
-0.168,0.787,-0.372,51.453,14.954,11.780
-0.234,0.840,-0.286,54.565,12.451,16.418
-0.317,0.899,-0.177,56.763,16.541,17.395
-0.377,0.950,-0.102,54.871,22.888,14.282
-0.394,0.971,-0.072,48.096,25.879,9.338
-0.374,0.962,-0.099,37.537,25.024,4.700
-0.349,0.915,-0.189,25.940,23.437,1.343
-0.309,0.866,-0.289,18.555,22.705,-0.061
-0.286,0.840,-0.378,16.357,21.362,0.549
